session,bbid,ward,alderperson,vote
2018-2019,218,15,Megan E. Green,Aye
2018-2019,218,16,Tom Oldenburg,Aye
2018-2019,218,17,Joseph D Roddy,Aye
2018-2019,218,19,Marlene E Davis,Aye
2018-2019,218,20,Cara Spencer,Aye
2018-2019,218,22,Jeffrey L Boyd,Aye
2018-2019,218,23,Joseph Vaccaro,Aye
2018-2019,218,24,Scott Ogilvie,Aye
2018-2019,218,25,Shane Cohn,Aye
2018-2019,218,27,Pam Boyd,Aye
2018-2019,218,28,Heather Navarro,Aye
2018-2019,218,President,Lewis E Reed,Aye
2018-2019,218,12,Larry Arnowitz,Did Not Vote
2018-2019,218,18,Terry Kennedy,Did Not Vote
2018-2019,218,21,John Collins-Muhammad,Did Not Vote
2018-2019,218,26,Frank Williamson,Did Not Vote
2018-2019,218,4,Samuel L Moore,Absent
2018-2019,218,7,Jack Coatar,Absent
2018-2019,197,1,Sharon Tyus,Aye
2018-2019,197,2,Lisa Middlebrook,Aye
2018-2019,197,3,Brandon Bosley,Aye
2018-2019,197,5,Tammika Hubbard,Aye
2018-2019,197,6,Christine Ingrassia,Aye
2018-2019,197,8,Annie Rice,Aye
2018-2019,197,9,Dan Guenther,Aye
2018-2019,197,10,Joseph Vollmer,Aye
2018-2019,197,11,Sarah Martin,Aye
2018-2019,197,13,Beth Murphy,Aye
2018-2019,197,14,Carol Howard,Aye
2018-2019,197,15,Megan E. Green,Aye
2018-2019,197,16,Tom Oldenburg,Aye
2018-2019,197,17,Joseph D Roddy,Aye
2018-2019,197,19,Marlene E Davis,Aye
2018-2019,197,20,Cara Spencer,Aye
2018-2019,197,22,Jeffrey L Boyd,Aye
2018-2019,197,23,Joseph Vaccaro,Aye
2018-2019,197,24,Scott Ogilvie,Aye
2018-2019,197,25,Shane Cohn,Aye
2018-2019,197,27,Pam Boyd,Aye
2018-2019,197,28,Heather Navarro,Aye
2018-2019,197,President,Lewis E Reed,Aye
2018-2019,197,12,Larry Arnowitz,Did Not Vote
2018-2019,197,18,Terry Kennedy,Did Not Vote
2018-2019,197,21,John Collins-Muhammad,Did Not Vote
2018-2019,197,26,Frank Williamson,Did Not Vote
2018-2019,197,4,Samuel L Moore,Absent
2018-2019,197,7,Jack Coatar,Absent
2018-2019,220,1,Sharon Tyus,Aye
2018-2019,220,2,Lisa Middlebrook,Aye
2018-2019,220,3,Brandon Bosley,Aye
2018-2019,220,5,Tammika Hubbard,Aye
2018-2019,220,6,Christine Ingrassia,Aye
2018-2019,220,8,Annie Rice,Aye
2018-2019,220,9,Dan Guenther,Aye
2018-2019,220,10,Joseph Vollmer,Aye
2018-2019,220,11,Sarah Martin,Aye
2018-2019,220,13,Beth Murphy,Aye
2018-2019,220,14,Carol Howard,Aye
2018-2019,220,15,Megan E. Green,Aye
2018-2019,220,16,Tom Oldenburg,Aye
2018-2019,220,17,Joseph D Roddy,Aye
2018-2019,220,19,Marlene E Davis,Aye
2018-2019,220,20,Cara Spencer,Aye
2018-2019,220,22,Jeffrey L Boyd,Aye
2018-2019,220,23,Joseph Vaccaro,Aye
2018-2019,220,24,Scott Ogilvie,Aye
2018-2019,220,25,Shane Cohn,Aye
2018-2019,220,27,Pam Boyd,Aye
2018-2019,220,28,Heather Navarro,Aye
2018-2019,220,President,Lewis E Reed,Aye
2018-2019,220,12,Larry Arnowitz,Did Not Vote
2018-2019,220,18,Terry Kennedy,Did Not Vote
2018-2019,220,21,John Collins-Muhammad,Did Not Vote
2018-2019,220,26,Frank Williamson,Did Not Vote
2018-2019,220,4,Samuel L Moore,Absent
2018-2019,220,7,Jack Coatar,Absent
2018-2019,221,1,Sharon Tyus,Aye
2018-2019,221,2,Lisa Middlebrook,Aye
2018-2019,221,3,Brandon Bosley,Aye
2018-2019,221,5,Tammika Hubbard,Aye
2018-2019,221,6,Christine Ingrassia,Aye
2018-2019,221,8,Annie Rice,Aye
2018-2019,221,9,Dan Guenther,Aye
2018-2019,221,10,Joseph Vollmer,Aye
2018-2019,221,11,Sarah Martin,Aye
2018-2019,221,13,Beth Murphy,Aye
2018-2019,221,14,Carol Howard,Aye
2018-2019,221,15,Megan E. Green,Aye
2018-2019,221,16,Tom Oldenburg,Aye
2018-2019,221,17,Joseph D Roddy,Aye
2018-2019,221,19,Marlene E Davis,Aye
2018-2019,221,20,Cara Spencer,Aye
2018-2019,221,22,Jeffrey L Boyd,Aye
2018-2019,221,23,Joseph Vaccaro,Aye
2018-2019,221,24,Scott Ogilvie,Aye
2018-2019,221,25,Shane Cohn,Aye
2018-2019,221,27,Pam Boyd,Aye
2018-2019,221,28,Heather Navarro,Aye
2018-2019,221,President,Lewis E Reed,Aye
2018-2019,221,12,Larry Arnowitz,Did Not Vote
2018-2019,221,18,Terry Kennedy,Did Not Vote
2018-2019,221,21,John Collins-Muhammad,Did Not Vote
2018-2019,221,26,Frank Williamson,Did Not Vote
2018-2019,221,4,Samuel L Moore,Absent
2018-2019,221,7,Jack Coatar,Absent
2018-2019,229,1,Sharon Tyus,Aye
2018-2019,229,2,Lisa Middlebrook,Aye
2018-2019,229,3,Brandon Bosley,Aye
2018-2019,229,5,Tammika Hubbard,Aye
2018-2019,229,6,Christine Ingrassia,Aye
2018-2019,229,8,Annie Rice,Aye
2018-2019,229,9,Dan Guenther,Aye
2018-2019,229,10,Joseph Vollmer,Aye
2018-2019,229,11,Sarah Martin,Aye
2018-2019,229,13,Beth Murphy,Aye
2018-2019,229,14,Carol Howard,Aye
2018-2019,229,15,Megan E. Green,Aye
2018-2019,229,16,Tom Oldenburg,Aye
2018-2019,229,17,Joseph D Roddy,Aye
2018-2019,229,19,Marlene E Davis,Aye
2018-2019,229,20,Cara Spencer,Aye
2018-2019,229,22,Jeffrey L Boyd,Aye
2018-2019,229,23,Joseph Vaccaro,Aye
2018-2019,229,24,Scott Ogilvie,Aye
2018-2019,229,25,Shane Cohn,Aye
2018-2019,229,27,Pam Boyd,Aye
2018-2019,229,28,Heather Navarro,Aye
2018-2019,229,President,Lewis E Reed,Aye
2018-2019,229,12,Larry Arnowitz,Did Not Vote
2018-2019,229,18,Terry Kennedy,Did Not Vote
2018-2019,229,21,John Collins-Muhammad,Did Not Vote
2018-2019,229,26,Frank Williamson,Did Not Vote
2018-2019,229,4,Samuel L Moore,Absent
2018-2019,229,7,Jack Coatar,Absent
2018-2019,233,1,Sharon Tyus,Aye
2018-2019,233,2,Lisa Middlebrook,Aye
2018-2019,233,3,Brandon Bosley,Aye
2018-2019,233,5,Tammika Hubbard,Aye
2018-2019,233,6,Christine Ingrassia,Aye
2018-2019,233,8,Annie Rice,Aye
2018-2019,233,9,Dan Guenther,Aye
2018-2019,233,10,Joseph Vollmer,Aye
2018-2019,233,11,Sarah Martin,Aye
2018-2019,233,13,Beth Murphy,Aye
2018-2019,233,14,Carol Howard,Aye
2018-2019,233,15,Megan E. Green,Aye
2018-2019,233,16,Tom Oldenburg,Aye
2018-2019,233,17,Joseph D Roddy,Aye
2018-2019,233,19,Marlene E Davis,Aye
2018-2019,233,20,Cara Spencer,Aye
2018-2019,233,22,Jeffrey L Boyd,Aye
2018-2019,233,23,Joseph Vaccaro,Aye
2018-2019,233,24,Scott Ogilvie,Aye
2018-2019,233,25,Shane Cohn,Aye
2018-2019,233,27,Pam Boyd,Aye
2018-2019,233,28,Heather Navarro,Aye
2018-2019,233,President,Lewis E Reed,Aye
2018-2019,233,12,Larry Arnowitz,Did Not Vote
2018-2019,233,18,Terry Kennedy,Did Not Vote
2018-2019,233,21,John Collins-Muhammad,Did Not Vote
2018-2019,233,26,Frank Williamson,Did Not Vote
2018-2019,233,4,Samuel L Moore,Absent
2018-2019,233,7,Jack Coatar,Absent
2018-2019,234,1,Sharon Tyus,Aye
2018-2019,234,2,Lisa Middlebrook,Aye
2018-2019,234,3,Brandon Bosley,Aye
2018-2019,234,5,Tammika Hubbard,Aye
2018-2019,234,6,Christine Ingrassia,Aye
2018-2019,234,8,Annie Rice,Aye
2018-2019,234,9,Dan Guenther,Aye
2018-2019,234,10,Joseph Vollmer,Aye
2018-2019,234,11,Sarah Martin,Aye
2018-2019,234,13,Beth Murphy,Aye
2018-2019,234,14,Carol Howard,Aye
2018-2019,234,15,Megan E. Green,Aye
2018-2019,234,16,Tom Oldenburg,Aye
2018-2019,234,17,Joseph D Roddy,Aye
2018-2019,234,19,Marlene E Davis,Aye
2018-2019,234,20,Cara Spencer,Aye
2018-2019,234,22,Jeffrey L Boyd,Aye
2018-2019,234,23,Joseph Vaccaro,Aye
2018-2019,234,24,Scott Ogilvie,Aye
2018-2019,234,25,Shane Cohn,Aye
2018-2019,234,27,Pam Boyd,Aye
2018-2019,234,28,Heather Navarro,Aye
2018-2019,234,President,Lewis E Reed,Aye
2018-2019,234,12,Larry Arnowitz,Did Not Vote
2018-2019,234,18,Terry Kennedy,Did Not Vote
2018-2019,234,21,John Collins-Muhammad,Did Not Vote
2018-2019,234,26,Frank Williamson,Did Not Vote
2018-2019,234,4,Samuel L Moore,Absent
2018-2019,234,7,Jack Coatar,Absent
2018-2019,235,1,Sharon Tyus,Aye
2018-2019,235,2,Lisa Middlebrook,Aye
2018-2019,235,3,Brandon Bosley,Aye
2018-2019,235,5,Tammika Hubbard,Aye
2018-2019,235,6,Christine Ingrassia,Aye
2018-2019,235,8,Annie Rice,Aye
2018-2019,235,9,Dan Guenther,Aye
2018-2019,235,10,Joseph Vollmer,Aye
2018-2019,235,11,Sarah Martin,Aye
2018-2019,235,13,Beth Murphy,Aye
2018-2019,235,14,Carol Howard,Aye
2018-2019,235,15,Megan E. Green,Aye
2018-2019,235,16,Tom Oldenburg,Aye
2018-2019,235,17,Joseph D Roddy,Aye
2018-2019,235,19,Marlene E Davis,Aye
2018-2019,235,20,Cara Spencer,Aye
2018-2019,235,22,Jeffrey L Boyd,Aye
2018-2019,235,23,Joseph Vaccaro,Aye
2018-2019,235,24,Scott Ogilvie,Aye
2018-2019,235,25,Shane Cohn,Aye
2018-2019,235,27,Pam Boyd,Aye
2018-2019,235,28,Heather Navarro,Aye
2018-2019,235,President,Lewis E Reed,Aye
2018-2019,235,12,Larry Arnowitz,Did Not Vote
2018-2019,235,18,Terry Kennedy,Did Not Vote
2018-2019,235,21,John Collins-Muhammad,Did Not Vote
2018-2019,235,26,Frank Williamson,Did Not Vote
2018-2019,235,4,Samuel L Moore,Absent
2018-2019,235,7,Jack Coatar,Absent
2018-2019,236,1,Sharon Tyus,Aye
2018-2019,236,2,Lisa Middlebrook,Aye
2018-2019,236,3,Brandon Bosley,Aye
2018-2019,236,5,Tammika Hubbard,Aye
2018-2019,236,6,Christine Ingrassia,Aye
2018-2019,236,8,Annie Rice,Aye
2018-2019,236,9,Dan Guenther,Aye
2018-2019,236,10,Joseph Vollmer,Aye
2018-2019,236,11,Sarah Martin,Aye
2018-2019,236,13,Beth Murphy,Aye
2018-2019,236,14,Carol Howard,Aye
2018-2019,236,15,Megan E. Green,Aye
2018-2019,236,16,Tom Oldenburg,Aye
2018-2019,236,17,Joseph D Roddy,Aye
2018-2019,236,19,Marlene E Davis,Aye
2018-2019,236,20,Cara Spencer,Aye
2018-2019,236,22,Jeffrey L Boyd,Aye
2018-2019,236,23,Joseph Vaccaro,Aye
2018-2019,236,24,Scott Ogilvie,Aye
2018-2019,236,25,Shane Cohn,Aye
2018-2019,236,27,Pam Boyd,Aye
2018-2019,236,28,Heather Navarro,Aye
2018-2019,236,President,Lewis E Reed,Aye
2018-2019,236,12,Larry Arnowitz,Did Not Vote
2018-2019,236,18,Terry Kennedy,Did Not Vote
2018-2019,236,21,John Collins-Muhammad,Did Not Vote
2018-2019,236,26,Frank Williamson,Did Not Vote
2018-2019,236,4,Samuel L Moore,Absent
2018-2019,236,7,Jack Coatar,Absent
2018-2019,191,1,Sharon Tyus,Aye
2018-2019,191,2,Lisa Middlebrook,Aye
2018-2019,191,3,Brandon Bosley,Aye
2018-2019,191,6,Christine Ingrassia,Aye
2018-2019,191,8,Annie Rice,Aye
2018-2019,191,9,Dan Guenther,Aye
2018-2019,191,10,Joseph Vollmer,Aye
2018-2019,191,11,Sarah Martin,Aye
2018-2019,191,13,Beth Murphy,Aye
2018-2019,191,14,Carol Howard,Aye
2018-2019,191,15,Megan E. Green,Aye
2018-2019,191,16,Tom Oldenburg,Aye
2018-2019,191,17,Joseph D Roddy,Aye
2018-2019,191,19,Marlene E Davis,Aye
2018-2019,191,20,Cara Spencer,Aye
2018-2019,191,22,Jeffrey L Boyd,Aye
2018-2019,191,23,Joseph Vaccaro,Aye
2018-2019,191,24,Scott Ogilvie,Aye
2018-2019,191,25,Shane Cohn,Aye
2018-2019,191,27,Pam Boyd,Aye
2018-2019,191,28,Heather Navarro,Aye
2018-2019,191,President,Lewis E Reed,Aye
2018-2019,191,5,Tammika Hubbard,Did Not Vote
2018-2019,191,12,Larry Arnowitz,Did Not Vote
2018-2019,191,18,Terry Kennedy,Did Not Vote
2018-2019,191,21,John Collins-Muhammad,Did Not Vote
2018-2019,191,26,Frank Williamson,Did Not Vote
2018-2019,191,4,Samuel L Moore,Absent
2018-2019,191,7,Jack Coatar,Absent
2018-2019,222,2,Lisa Middlebrook,Aye
2018-2019,222,3,Brandon Bosley,Aye
2018-2019,222,5,Tammika Hubbard,Aye
2018-2019,222,6,Christine Ingrassia,Aye
2018-2019,222,8,Annie Rice,Aye
2018-2019,222,9,Dan Guenther,Aye
2018-2019,222,10,Joseph Vollmer,Aye
2018-2019,222,11,Sarah Martin,Aye
2018-2019,222,13,Beth Murphy,Aye
2018-2019,222,14,Carol Howard,Aye
2018-2019,222,15,Megan E. Green,Aye
2018-2019,222,16,Tom Oldenburg,Aye
2018-2019,222,17,Joseph D Roddy,Aye
2018-2019,222,18,Terry Kennedy,Aye
2018-2019,222,19,Marlene E Davis,Aye
2018-2019,222,20,Cara Spencer,Aye
2018-2019,222,22,Jeffrey L Boyd,Aye
2018-2019,222,23,Joseph Vaccaro,Aye
2018-2019,222,24,Scott Ogilvie,Aye
2018-2019,222,25,Shane Cohn,Aye
2018-2019,222,27,Pam Boyd,Aye
2018-2019,222,28,Heather Navarro,Aye
2018-2019,222,President,Lewis E Reed,Aye
2018-2019,222,1,Sharon Tyus,No
2018-2019,222,21,John Collins-Muhammad,No
2018-2019,222,12,Larry Arnowitz,Did Not Vote
2018-2019,222,26,Frank Williamson,Did Not Vote
2018-2019,222,4,Samuel L Moore,Absent
2018-2019,222,7,Jack Coatar,Absent
2018-2019,166,2,Lisa Middlebrook,Aye
2018-2019,166,3,Brandon Bosley,Aye
2018-2019,166,5,Tammika Hubbard,Aye
2018-2019,166,6,Christine Ingrassia,Aye
2018-2019,166,9,Dan Guenther,Aye
2018-2019,166,10,Joseph Vollmer,Aye
2018-2019,166,11,Sarah Martin,Aye
2018-2019,166,13,Beth Murphy,Aye
2018-2019,166,14,Carol Howard,Aye
2018-2019,166,15,Megan E. Green,Aye
2018-2019,166,16,Tom Oldenburg,Aye
2018-2019,166,17,Joseph D Roddy,Aye
2018-2019,166,18,Terry Kennedy,Aye
2018-2019,166,19,Marlene E Davis,Aye
2018-2019,166,20,Cara Spencer,Aye
2018-2019,166,22,Jeffrey L Boyd,Aye
2018-2019,166,23,Joseph Vaccaro,Aye
2018-2019,166,24,Scott Ogilvie,Aye
2018-2019,166,25,Shane Cohn,Aye
2018-2019,166,27,Pam Boyd,Aye
2018-2019,166,28,Heather Navarro,Aye
2018-2019,166,President,Lewis E Reed,Aye
2018-2019,166,1,Sharon Tyus,No
2018-2019,166,8,Annie Rice,No
2018-2019,166,12,Larry Arnowitz,Did Not Vote
2018-2019,166,21,John Collins-Muhammad,Did Not Vote
2018-2019,166,26,Frank Williamson,Did Not Vote
2018-2019,166,4,Samuel L Moore,Absent
2018-2019,166,7,Jack Coatar,Absent
2018-2019,9,1,Sharon Tyus,Aye
2018-2019,9,2,Lisa Middlebrook,Aye
2018-2019,9,3,Brandon Bosley,Aye
2018-2019,9,4,Samuel L Moore,Aye
2018-2019,9,6,Christine Ingrassia,Aye
2018-2019,9,7,Jack Coatar,Aye
2018-2019,9,8,Annie Rice,Aye
2018-2019,9,9,Dan Guenther,Aye
2018-2019,9,10,Joseph Vollmer,Aye
2018-2019,9,11,Sarah Martin,Aye
2018-2019,9,13,Beth Murphy,Aye
2018-2019,9,14,Carol Howard,Aye
2018-2019,9,15,Megan E. Green,Aye
2018-2019,9,18,Terry Kennedy,Aye
2018-2019,9,19,Marlene E Davis,Aye
2018-2019,9,20,Cara Spencer,Aye
2018-2019,9,21,John Collins-Muhammad,Aye
2018-2019,9,22,Jeffrey L Boyd,Aye
2018-2019,9,23,Joseph Vaccaro,Aye
2018-2019,9,24,Scott Ogilvie,Aye
2018-2019,9,25,Shane Cohn,Aye
2018-2019,9,27,Pam Boyd,Aye
2018-2019,9,28,Heather Navarro,Aye
2018-2019,9,President,Lewis E Reed,Aye
2018-2019,9,5,Tammika Hubbard,Did Not Vote
2018-2019,9,12,Larry Arnowitz,Did Not Vote
2018-2019,9,16,Tom Oldenburg,Did Not Vote
2018-2019,9,17,Joseph D Roddy,Did Not Vote
2018-2019,9,26,Seat is vacant,Vacant Seat
2018-2019,78,1,Sharon Tyus,Aye
2018-2019,78,2,Lisa Middlebrook,Aye
2018-2019,78,3,Brandon Bosley,Aye
2018-2019,78,4,Samuel L Moore,Aye
2018-2019,78,6,Christine Ingrassia,Aye
2018-2019,78,7,Jack Coatar,Aye
2018-2019,78,8,Annie Rice,Aye
2018-2019,78,9,Dan Guenther,Aye
2018-2019,78,10,Joseph Vollmer,Aye
2018-2019,78,11,Sarah Martin,Aye
2018-2019,78,13,Beth Murphy,Aye
2018-2019,78,14,Carol Howard,Aye
2018-2019,78,15,Megan E. Green,Aye
2018-2019,78,18,Terry Kennedy,Aye
2018-2019,78,19,Marlene E Davis,Aye
2018-2019,78,20,Cara Spencer,Aye
2018-2019,78,21,John Collins-Muhammad,Aye
2018-2019,78,22,Jeffrey L Boyd,Aye
2018-2019,78,23,Joseph Vaccaro,Aye
2018-2019,78,24,Scott Ogilvie,Aye
2018-2019,78,25,Shane Cohn,Aye
2018-2019,78,27,Pam Boyd,Aye
2018-2019,78,28,Heather Navarro,Aye
2018-2019,78,President,Lewis E Reed,Aye
2018-2019,78,5,Tammika Hubbard,Did Not Vote
2018-2019,78,12,Larry Arnowitz,Did Not Vote
2018-2019,78,16,Tom Oldenburg,Did Not Vote
2018-2019,78,17,Joseph D Roddy,Did Not Vote
2018-2019,78,26,Seat is vacant,Vacant Seat
2018-2019,96,1,Sharon Tyus,Aye
2018-2019,96,2,Lisa Middlebrook,Aye
2018-2019,96,3,Brandon Bosley,Aye
2018-2019,96,4,Samuel L Moore,Aye
2018-2019,96,6,Christine Ingrassia,Aye
2018-2019,96,7,Jack Coatar,Aye
2018-2019,96,8,Annie Rice,Aye
2018-2019,96,9,Dan Guenther,Aye
2018-2019,96,10,Joseph Vollmer,Aye
2018-2019,96,11,Sarah Martin,Aye
2018-2019,96,13,Beth Murphy,Aye
2018-2019,96,14,Carol Howard,Aye
2018-2019,96,15,Megan E. Green,Aye
2018-2019,96,18,Terry Kennedy,Aye
2018-2019,96,19,Marlene E Davis,Aye
2018-2019,96,20,Cara Spencer,Aye
2018-2019,96,21,John Collins-Muhammad,Aye
2018-2019,96,22,Jeffrey L Boyd,Aye
2018-2019,96,23,Joseph Vaccaro,Aye
2018-2019,96,24,Scott Ogilvie,Aye
2018-2019,96,25,Shane Cohn,Aye
2018-2019,96,27,Pam Boyd,Aye
2018-2019,96,28,Heather Navarro,Aye
2018-2019,96,President,Lewis E Reed,Aye
2018-2019,96,5,Tammika Hubbard,Did Not Vote
2018-2019,96,12,Larry Arnowitz,Did Not Vote
2018-2019,96,16,Tom Oldenburg,Did Not Vote
2018-2019,96,17,Joseph D Roddy,Did Not Vote
2018-2019,96,26,Seat is vacant,Vacant Seat
2018-2019,97,1,Sharon Tyus,Aye
2018-2019,97,2,Lisa Middlebrook,Aye
2018-2019,97,3,Brandon Bosley,Aye
2018-2019,97,4,Samuel L Moore,Aye
2018-2019,97,6,Christine Ingrassia,Aye
2018-2019,97,7,Jack Coatar,Aye
2018-2019,97,8,Annie Rice,Aye
2018-2019,97,9,Dan Guenther,Aye
2018-2019,97,10,Joseph Vollmer,Aye
2018-2019,97,11,Sarah Martin,Aye
2018-2019,97,13,Beth Murphy,Aye
2018-2019,97,14,Carol Howard,Aye
2018-2019,97,15,Megan E. Green,Aye
2018-2019,97,18,Terry Kennedy,Aye
2018-2019,97,19,Marlene E Davis,Aye
2018-2019,97,20,Cara Spencer,Aye
2018-2019,97,21,John Collins-Muhammad,Aye
2018-2019,97,22,Jeffrey L Boyd,Aye
2018-2019,97,23,Joseph Vaccaro,Aye
2018-2019,97,24,Scott Ogilvie,Aye
2018-2019,97,25,Shane Cohn,Aye
2018-2019,97,27,Pam Boyd,Aye
2018-2019,97,28,Heather Navarro,Aye
2018-2019,97,President,Lewis E Reed,Aye
2018-2019,97,5,Tammika Hubbard,Did Not Vote
2018-2019,97,12,Larry Arnowitz,Did Not Vote
2018-2019,97,16,Tom Oldenburg,Did Not Vote
2018-2019,97,17,Joseph D Roddy,Did Not Vote
2018-2019,97,26,Seat is vacant,Vacant Seat
2018-2019,170,1,Sharon Tyus,Aye
2018-2019,170,2,Lisa Middlebrook,Aye
2018-2019,170,3,Brandon Bosley,Aye
2018-2019,170,4,Samuel L Moore,Aye
2018-2019,170,6,Christine Ingrassia,Aye
2018-2019,170,7,Jack Coatar,Aye
2018-2019,170,8,Annie Rice,Aye
2018-2019,170,9,Dan Guenther,Aye
2018-2019,170,10,Joseph Vollmer,Aye
2018-2019,170,11,Sarah Martin,Aye
2018-2019,170,13,Beth Murphy,Aye
2018-2019,170,14,Carol Howard,Aye
2018-2019,170,15,Megan E. Green,Aye
2018-2019,170,18,Terry Kennedy,Aye
2018-2019,170,19,Marlene E Davis,Aye
2018-2019,170,20,Cara Spencer,Aye
2018-2019,170,21,John Collins-Muhammad,Aye
2018-2019,170,22,Jeffrey L Boyd,Aye
2018-2019,170,23,Joseph Vaccaro,Aye
2018-2019,170,24,Scott Ogilvie,Aye
2018-2019,170,25,Shane Cohn,Aye
2018-2019,170,27,Pam Boyd,Aye
2018-2019,170,28,Heather Navarro,Aye
2018-2019,170,President,Lewis E Reed,Aye
2018-2019,170,5,Tammika Hubbard,Did Not Vote
2018-2019,170,12,Larry Arnowitz,Did Not Vote
2018-2019,170,16,Tom Oldenburg,Did Not Vote
2018-2019,170,17,Joseph D Roddy,Did Not Vote
2018-2019,170,26,Seat is vacant,Vacant Seat
2018-2019,185,1,Sharon Tyus,Aye
2018-2019,185,2,Lisa Middlebrook,Aye
2018-2019,185,3,Brandon Bosley,Aye
2018-2019,185,4,Samuel L Moore,Aye
2018-2019,185,6,Christine Ingrassia,Aye
2018-2019,185,7,Jack Coatar,Aye
2018-2019,185,8,Annie Rice,Aye
2018-2019,185,9,Dan Guenther,Aye
2018-2019,185,10,Joseph Vollmer,Aye
2018-2019,185,11,Sarah Martin,Aye
2018-2019,185,13,Beth Murphy,Aye
2018-2019,185,14,Carol Howard,Aye
2018-2019,185,15,Megan E. Green,Aye
2018-2019,185,18,Terry Kennedy,Aye
2018-2019,185,19,Marlene E Davis,Aye
2018-2019,185,20,Cara Spencer,Aye
2018-2019,185,21,John Collins-Muhammad,Aye
2018-2019,185,22,Jeffrey L Boyd,Aye
2018-2019,185,23,Joseph Vaccaro,Aye
2018-2019,185,24,Scott Ogilvie,Aye
2018-2019,185,25,Shane Cohn,Aye
2018-2019,185,27,Pam Boyd,Aye
2018-2019,185,28,Heather Navarro,Aye
2018-2019,185,President,Lewis E Reed,Aye
2018-2019,185,5,Tammika Hubbard,Did Not Vote
2018-2019,185,12,Larry Arnowitz,Did Not Vote
2018-2019,185,16,Tom Oldenburg,Did Not Vote
2018-2019,185,17,Joseph D Roddy,Did Not Vote
2018-2019,185,26,Seat is vacant,Vacant Seat
2018-2019,189,1,Sharon Tyus,Aye
2018-2019,189,2,Lisa Middlebrook,Aye
2018-2019,189,3,Brandon Bosley,Aye
2018-2019,189,4,Samuel L Moore,Aye
2018-2019,189,6,Christine Ingrassia,Aye
2018-2019,189,7,Jack Coatar,Aye
2018-2019,189,8,Annie Rice,Aye
2018-2019,189,9,Dan Guenther,Aye
2018-2019,189,10,Joseph Vollmer,Aye
2018-2019,189,11,Sarah Martin,Aye
2018-2019,189,13,Beth Murphy,Aye
2018-2019,189,14,Carol Howard,Aye
2018-2019,189,15,Megan E. Green,Aye
2018-2019,189,18,Terry Kennedy,Aye
2018-2019,189,19,Marlene E Davis,Aye
2018-2019,189,20,Cara Spencer,Aye
2018-2019,189,21,John Collins-Muhammad,Aye
2018-2019,189,22,Jeffrey L Boyd,Aye
2018-2019,189,23,Joseph Vaccaro,Aye
2018-2019,189,24,Scott Ogilvie,Aye
2018-2019,189,25,Shane Cohn,Aye
2018-2019,189,27,Pam Boyd,Aye
2018-2019,189,28,Heather Navarro,Aye
2018-2019,189,President,Lewis E Reed,Aye
2018-2019,189,5,Tammika Hubbard,Did Not Vote
2018-2019,189,12,Larry Arnowitz,Did Not Vote
2018-2019,189,16,Tom Oldenburg,Did Not Vote
2018-2019,189,17,Joseph D Roddy,Did Not Vote
2018-2019,189,26,Seat is vacant,Vacant Seat
2018-2019,194,1,Sharon Tyus,Aye
2018-2019,194,2,Lisa Middlebrook,Aye
2018-2019,194,3,Brandon Bosley,Aye
2018-2019,194,4,Samuel L Moore,Aye
2018-2019,194,6,Christine Ingrassia,Aye
2018-2019,194,7,Jack Coatar,Aye
2018-2019,194,8,Annie Rice,Aye
2018-2019,194,9,Dan Guenther,Aye
2018-2019,194,10,Joseph Vollmer,Aye
2018-2019,194,11,Sarah Martin,Aye
2018-2019,194,13,Beth Murphy,Aye
2018-2019,194,14,Carol Howard,Aye
2018-2019,194,15,Megan E. Green,Aye
2018-2019,194,18,Terry Kennedy,Aye
2018-2019,194,19,Marlene E Davis,Aye
2018-2019,194,20,Cara Spencer,Aye
2018-2019,194,21,John Collins-Muhammad,Aye
2018-2019,194,22,Jeffrey L Boyd,Aye
2018-2019,194,23,Joseph Vaccaro,Aye
2018-2019,194,24,Scott Ogilvie,Aye
2018-2019,194,25,Shane Cohn,Aye
2018-2019,194,27,Pam Boyd,Aye
2018-2019,194,28,Heather Navarro,Aye
2018-2019,194,President,Lewis E Reed,Aye
2018-2019,194,5,Tammika Hubbard,Did Not Vote
2018-2019,194,12,Larry Arnowitz,Did Not Vote
2018-2019,194,16,Tom Oldenburg,Did Not Vote
2018-2019,194,17,Joseph D Roddy,Did Not Vote
2018-2019,194,26,Seat is vacant,Vacant Seat
2018-2019,200,1,Sharon Tyus,Aye
2018-2019,200,2,Lisa Middlebrook,Aye
2018-2019,200,3,Brandon Bosley,Aye
2018-2019,200,4,Samuel L Moore,Aye
2018-2019,200,6,Christine Ingrassia,Aye
2018-2019,200,7,Jack Coatar,Aye
2018-2019,200,8,Annie Rice,Aye
2018-2019,200,9,Dan Guenther,Aye
2018-2019,200,10,Joseph Vollmer,Aye
2018-2019,200,11,Sarah Martin,Aye
2018-2019,200,13,Beth Murphy,Aye
2018-2019,200,14,Carol Howard,Aye
2018-2019,200,15,Megan E. Green,Aye
2018-2019,200,18,Terry Kennedy,Aye
2018-2019,200,19,Marlene E Davis,Aye
2018-2019,200,20,Cara Spencer,Aye
2018-2019,200,21,John Collins-Muhammad,Aye
2018-2019,200,22,Jeffrey L Boyd,Aye
2018-2019,200,23,Joseph Vaccaro,Aye
2018-2019,200,24,Scott Ogilvie,Aye
2018-2019,200,25,Shane Cohn,Aye
2018-2019,200,27,Pam Boyd,Aye
