session,bbid,sponsor,date of vote, title, url
2018-2019,48,Joseph D Roddy,06/22/2018,Zoning of property on the Central  	West End Form-Based District Map from “NG1” Neighborhood General Type 1 Zone to the “NCT1” Neighborhood Center Type 1 Zone in City Block 3914 (4117R West Pine Boulevard),https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11107
2018-2019,50,Sarah Martin,06/22/2018,Zoning of property in City Block 2861 from “B” Two-Family Dwelling District to the “F” Neighborhood Commercial District at 5601-03 S. Broadway,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11109
2018-2019,69,Jeffrey L Boyd,06/15/2018,Parking Commission making appropriation for payment of the operating  expenses capital equipment and improvement expenses including lease purchase agreements involving Parking Division assets and debt service expenses of the Parking Division of th,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11130
2018-2019,47,Brandon Bosley,06/08/2018,An Ordinance directing the Director of Streets to change the 3200 block of Sullivan from a one way passage to a two way passage and containing an emergency clause.,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11105
2018-2019,49,Joseph D Roddy,06/08/2018,Vacate travel on the north side of Forest Park Ave. abutting City Block 3919-E as bounded by Laclede Spring Forest Park and Vandeventer and adjacent to 3763 (3745-3801) Forest Park.,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11108
2018-2019,63,Brandon Bosley,06/08/2018,An ordinance directing the Director of Streets to make such changes in the present traffic pattern controlling traffic on Greer Ave. Dodier Ave. and University Ave. in the 3500 block of said streets between N. Grand Blvd. and N. Garrison Ave,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11123
2018-2019,2,Sarah Martin,06/01/2018,Zoning of property in City Block 3084 from “J” Industrial District and “K” Unrestricted District to the “K” Unrestricted District only at 7500-18 S. Broadway,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11049
2018-2019,3,Joseph Vollmer,06/01/2018,Zoning of property in City Block 4741 from “A” Single-Family Dwelling District and “F” Neighborhood Commercial District to the “A” Single-Family Dwelling District only at 5201 Fyler,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11050
2018-2019,27,Samuel L Moore,06/01/2018,Fourth Ward Liquor Control District,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11072
2018-2019,41,Frank Williamson,06/01/2018,An Ordinance to provide for the borrowing of funds in anticipation of the collection of tax payments levied by for deposit in its General Revenue Fund for the calendar year ending December 31 2018,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11098
2018-2019,45,Marlene E Davis,06/01/2018,"Airport Terminal Services Inc. Space Permit AL-071”  (“Permit”) between the City and Airport Terminal Services Inc.,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11102
2018-2019,37,Terry Kennedy,06/01/2018,An ordinance pertaining to the authorization of a mutual aid agreement between the city of St. Louis and St. Clair County Illinois for St. Clair County Illinois law enforcement officer employees to provide law enforcement services and activities,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11083
2018-2019,35,Cara Spencer,06/01/2018,An ordinance pertaining to campaign contribution limits;,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11081
2018-2019,42,Marlene E Davis,05/24/2018,An ordinance recommended and approved by the Airport Commission the Comptroller and the Board of Estimate and Apportionment making certain findings with respect to the transfer of up to Four Million Dollars ($4000000) of excess moneys that The Ci,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11099
2018-2019,46,Megan E. Green,05/24/2018,Tower Grove South Concerned Citizens Special Business District,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11104
2018-2019,43,Marlene E Davis,05/24/2018,An Ordinance recommended and approved by the Airport Commission the Board of Public Service and the Board of Estimate and Apportionment authorizing a First Amendment to Section One of the Airfield Building  & Environs,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11100
2018-2019,44,Marlene E Davis,05/24/2018,Second Amendment to Lease Agreement AL-222 between the City and MHS Travel and Charter Inc. (“MHS”) (the “Second Amendment”).  The Second Amendment amends Lease Agreement AL-222 dated June 25 2013,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11101
2018-2019,4,Jack Coatar,05/18/2018,Vacate travel in 10 foot wide "L" shaped alley in City Block 798 as bounded by Shenandoah 10th St. Lami and Menard,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11051
2018-2019,30,John Collins-Muhammad,05/18/2018,An Ordinance directing the Director of Streets to temporarily close barricade or otherwise impede the flow of traffic on Anderson Avenue at the north curb line of Dryden Avenue and containing an emergency clause.,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11075
2018-2019,31,Joseph Vaccaro,05/18/2018,Four-way stop site at the intersection of Mardel Avenue and Sulfur Avenue,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11076
2018-2019,7,Marlene E Davis,05/18/2018,An Ordinance recommended and approved by the Airport Commission the Board of Public Service and the Board of Estimate and Apportionment establishing and authorizing a public works and  improvement program at St. Louis Lambert International Airport,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11054
2018-2019,8,Marlene E Davis,05/18/2018,An Ordinance recommended and approved by the Airport Commission and the Board of Estimate and Apportionment authorizing a First Supplemental Appropriation in the total amount of Four Hundred Eighty One Thousand Three Hundred Two Dollars from the Air,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11055
